|__dataLog__action	|__dataLog__timestamp	|__dataLog__note	|__dataLog__userId
Close	"Friday, March 2, 2018 4:09 PM"	Mission Control	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Open	"Friday, March 2, 2018 4:09 PM"	Alien DB	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Close	"Friday, March 2, 2018 4:12 PM"	Alien DB	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Open	"Friday, March 2, 2018 4:12 PM"	Probe Design	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Open	"Friday, March 2, 2018 4:14 PM"	Mission Control	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Close	"Friday, March 2, 2018 4:15 PM"	Mission Control	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Open	"Friday, March 2, 2018 4:15 PM"	Communication Center	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Close	"Friday, March 2, 2018 4:20 PM"	Communication Center	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Open	"Friday, March 2, 2018 4:22 PM"	Mission Control	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Open	"Friday, March 2, 2018 4:24 PM"	Alien DB	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Close	"Friday, March 2, 2018 4:26 PM"	Alien DB	QZHNrEVaVoYnAv3jQijfLrPuKvm1
Open	"Wednesday, April 4, 2018 9:27 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:30 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 9:30 AM"	Alien DB	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:37 AM"	Alien DB	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 9:38 AM"	Probe Design	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:38 AM"	Probe Design	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 9:46 AM"	Mission Control	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:47 AM"	Mission Control	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 9:47 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:48 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 9:48 AM"	Alien DB	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:55 AM"	Alien DB	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 9:55 AM"	Probe Design	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:56 AM"	Probe Design	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 9:56 AM"	Probe Design	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:56 AM"	Probe Design	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 9:56 AM"	Mission Control	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 9:57 AM"	Mission Control	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 10:14 AM"	Probe Design	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 10:21 AM"	Mission Control	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 10:22 AM"	Mission Control	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 10:22 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 10:24 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 10:24 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Wednesday, April 4, 2018 10:24 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Close	"Wednesday, April 4, 2018 10:24 AM"	Communication Center	2peDMFDWOpSy4j14PPcx56P7OQx2
Open	"Thursday, April 12, 2018 12:47 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 12:47 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 12:47 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 12:47 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 12:47 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 12:50 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 12:50 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 12:50 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 12:51 PM"	Alien DB	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:01 PM"	Alien DB	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:02 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:02 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:02 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:02 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:02 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:02 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:03 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:03 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:04 PM"	Alien DB	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:15 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:15 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:15 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:15 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:21 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:21 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:23 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:28 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:29 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:32 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:33 PM"	Probe Design	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:33 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:35 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:39 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:39 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:40 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:40 PM"	Mission Control	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:41 PM"	Alien DB	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:42 PM"	Alien DB	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:42 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:42 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:42 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:42 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:42 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Close	"Thursday, April 12, 2018 1:42 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Thursday, April 12, 2018 1:43 PM"	Communication Center	CIMSAeAELvbokZXY9Ft4v2isxzG3
Open	"Monday, March 26, 2018 10:15 AM"	Communication Center	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 10:17 AM"	Communication Center	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 10:18 AM"	Alien DB	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 10:44 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 10:44 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 10:46 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 10:53 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 10:53 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 10:54 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 10:54 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 10:57 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 10:57 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 10:58 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 11:03 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 11:05 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 11:05 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 11:07 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 11:07 AM"	Alien DB	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 11:08 AM"	Alien DB	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 11:08 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 11:15 AM"	Probe Design	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 11:15 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 11:17 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 11:17 AM"	Alien DB	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 11:18 AM"	Alien DB	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 11:18 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 11:20 AM"	Mission Control	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Monday, March 26, 2018 11:20 AM"	Communication Center	GFjiNo87EcbWjT00oULB09taHQN2
Close	"Monday, March 26, 2018 11:22 AM"	Communication Center	GFjiNo87EcbWjT00oULB09taHQN2
Open	"Thursday, March 1, 2018 12:46 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 12:47 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 12:48 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 12:49 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 12:49 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:04 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:04 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:04 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:04 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:04 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:04 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:04 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:05 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:05 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:05 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:07 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:07 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:07 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:08 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:09 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:09 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:09 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:09 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:15 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:15 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:19 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:19 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:21 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:22 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:24 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:27 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:28 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:28 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:28 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:29 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:29 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:32 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:32 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:34 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:34 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:35 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:36 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:36 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:39 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:39 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:39 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:39 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:40 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:40 PM"	Probe Design	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:40 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:40 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:42 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:42 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:42 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:43 PM"	Alien DB	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:43 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:43 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:43 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:44 PM"	Mission Control	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:44 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:48 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Thursday, March 1, 2018 1:48 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Close	"Thursday, March 1, 2018 1:48 PM"	Communication Center	kHnjd8ZVo6N4dA30rJHZBk7XpNG3
Open	"Friday, March 2, 2018 3:27 PM"	Communication Center	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:27 PM"	Communication Center	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:28 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:28 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:29 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:29 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:30 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:41 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:42 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:42 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:49 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:49 PM"	Communication Center	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:49 PM"	Communication Center	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:49 PM"	Communication Center	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:50 PM"	Communication Center	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:50 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:55 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:56 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:56 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:57 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:57 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 3:57 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 3:57 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:01 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:02 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:03 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:03 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:05 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:05 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:09 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:09 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:10 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:10 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:10 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:10 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:15 PM"	Alien DB	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:15 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:18 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:19 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Close	"Friday, March 2, 2018 4:20 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:20 PM"	Probe Design	GaU3qPPqtZhrqSEFqV7m2NfY5do1
Open	"Friday, March 2, 2018 4:22 PM"	Mission Control	GaU3qPPqtZhrqSEFqV7m2NfY5do1
