|__dataLog__userId,Alien DB,Communication Center,Concepts DB,Mission Control,Missions DB,Notebook,Periodic Table,Probe Design,Solar DB,Spectra,Gender,MC_Average,solution_score,TAP_ALL,TAV_ALL,SAP_ALL,SAV_ALL,OAP_ALL,OAV_ALL
8DiT1wZVbAUWVtvmH84WzUxz2qd2,22,11,5,9,3,12,4,32,15,3,2,61.34,7,18,18,18,18,16,18
DGgYxZVIQ0fLq4prqwKLpfQgfLn1,13,4,3,15,1,5,1,15,1,4,1,71.42,7,21,21,21,21,21,21
8YIGhlnmGce08WUae7KjuxqYvQ82,15,5,3,17,3,16,2,23,9,6,1,62.85,0,21,19,19,18,21,21
LJVlfYwMtaQcP8jTPKZONr9RfUB2,13,6,2,5,1,6,3,7,11,6,2,67.9,0,21,19,20,20,18,20
CYbPDuYWsNcM9PQRtqwGYVWDca12,24,4,9,10,2,2,2,20,3,2,1,71.85,0,18,18,18,18,18,18
tO2rDyfdMSSvjefOdBRxWh2M2or2,0,10,2,0,5,1,31,4,38,2,1,73.23,0,20,21,21,20,3,14
7TN9tCkzIZVzBlCBsbzx0Meswvp2,39,7,1,3,2,4,1,5,20,12,2,70.11,3,18,18,18,19,21,21
rP0kBHyUrWUpqHk9DthmBE0tih63,34,11,2,1,1,4,2,2,11,3,1,87.7,4,18,17,17,18,15,18
Z6NFcPSA9INDpKnlTh1mwqoKrel1,36,9,5,5,0,2,2,8,7,4,1,64.33,5,16,15,15,14,15,16
KmznuqBhiyWe61tezLkcxT0jDXX2,23,3,2,11,0,7,3,18,12,3,1,55.6,7,16,15,17,16,14,13
wFQ3FnyuBfNomQG3eIvIwf0cgI33,17,2,2,6,3,6,2,13,18,4,1,84.77,5,21,21,21,21,21,21
X11HWbXrnlTVqB0jLJqP7zl3ZRE3,25,4,4,0,4,7,21,1,6,6,2,74.19,0,18,18,20,20,17,21
efQSVYwlCgWJ98OcnTTbLSm5Onq1,23,8,5,2,5,6,1,4,14,3,2,44.74,0,16,15,16,15,14,15
DekeTKHZJNfa6zISMWA6yD7juct2,36,2,0,2,0,6,0,15,2,0,1,71.17,0,21,21,20,18,21,21
Qg7rtqHy1dQZHb8CDcCDaoZppJA3,38,6,3,0,2,4,2,0,4,4,1,89.08,0,21,21,21,21,21,21
kcGPCSX1oqRC1hSH9qbS4I53nuV2,21,5,2,8,1,10,2,10,18,3,2,66.38,4,15,17,16,16,14,16
gSYgPv0SNwb75CrArdwxqZMP6JC2,13,37,3,4,5,16,13,9,1,3,1,77.09,5,19,19,17,15,14,17
gkvZjp0wRgddRDkvAwzssiUWLZK2,25,4,4,10,4,8,12,14,5,4,2,60.49,0,18,18,12,20,18,20
7PLqfBXIDja6HYdTH2HzWA3DkmF3,13,7,1,2,4,4,1,6,5,2,1,81.38,7,18,18,20,21,19,21
efoVvRmFIcPx2nFbBhebJX6QmzO2,16,10,5,4,5,2,4,14,4,4,1,68.06,3,21,20,17,20,16,17
P1d78q4SgLTdaNigYzEeOGf3zYB3,22,3,2,4,3,4,1,10,22,2,1,59.08,2,18,18,19,19,15,20
PnW02JaPjqVjXVEMpiwJKTElhtv2,9,5,5,19,4,10,5,18,4,3,2,35.74,4,16,18,18,18,11,16
iZNmo2AtezNltAiRR2LJsaGg9pB3,16,3,4,8,5,9,2,31,5,3,2,73.96,7,17,17,14,17,6,10
h07lknZ7nYem6OTFklmFaukDmxi1,24,4,1,15,3,5,0,19,0,2,1,66.08,6,18,18,18,17,14,18
sjvbAKgaEORROY0DU3QWtEwU9GH3,12,8,6,12,2,3,2,4,8,3,2,54.85,7,14,18,14,15,14,15
qdBOtntT6mfKEWtGEifXRvccg2u2,26,10,2,1,2,9,3,0,6,3,1,86.71,6,19,19,20,19,18,18
nLQCu8OBAYVi1DQPVeYrM2xsMQW2,9,4,2,2,1,6,1,5,21,3,1,50.17,4,18,20,21,20,16,14
6JmBFjGmXrY16sEQIsRfjxTAhkJ2,0,1,2,0,10,4,1,0,10,1,1,69.31,3,21,21,21,21,13,15
8sfF7xFKswVf5ihihzsbVC0jHH42,34,5,2,3,2,5,3,8,3,3,2,54.1,6,19,18,20,18,16,13
1VJUyPzjX0ftd1DiQMbk1oISY9H3,22,7,1,6,0,5,1,14,3,2,2,35.02,7,17,20,20,17,14,14
MQro2bQjw2cLKL6EJzSUwtxjII62,7,5,3,1,1,3,2,1,18,2,2,92.54,7,18,21,20,21,20,21
RjbEhfzAHbPVqkDMPJtCI3WSIMk1,24,10,5,2,14,5,31,6,1,5,1,63.43,5,18,18,18,18,18,18
0VypvNjsbnWRk12vRgiQpQv40zi1,18,18,2,9,4,7,2,13,5,3,2,71.31,6,21,20,15,15,12,12
8cSUSp0FvScUrHRFcnnHXlKmNQr2,15,2,1,7,1,6,2,24,10,2,2,64.21,5,17,15,16,11,15,9
MCiO3X1B0nTpHEoIOe8tpjfyYwz2,17,3,3,8,2,11,2,10,6,5,2,48.3,7,12,12,12,12,12,12
kfcDFSghhugZTUUwkZzcLYQFdM43,34,3,1,2,1,26,1,10,2,4,1,75.7,0,17,17,19,19,15,18
4DGMYJ1XaZQuXayNHP2IW1OyD3u2,16,3,0,4,2,17,2,10,10,4,1,56.89,2,21,21,21,21,20,21
e1fmGTN2jtbbkt4QVEaln8CsXRp1,32,4,3,3,2,4,0,10,4,3,1,69.42,5,18,18,12,11,17,16
NePycfUdh5hFOe8jpIuBWXZa4p62,35,4,0,5,2,7,0,10,0,0,1,60.49,2,21,16,19,18,17,14
95VOFuNS6ITQzBraSL2JFngLcXf1,12,32,7,5,9,9,4,25,8,4,1,63.71,0,20,21,21,21,20,21
pNjmB63jJIf9OIreDUciWUAeGC42,16,5,5,2,6,8,3,12,26,5,1,66.12,0,20,21,21,20,21,21
dUYZjq65zOQzaggrJcOXDHgUpXw2,27,4,3,6,13,22,2,30,5,4,2,60.62,0,18,21,21,21,9,14
LTTHb4HUI9aqh6BLGPfjb0g4nsd2,9,5,0,10,2,5,2,10,2,3,2,68.85,0,17,14,14,15,12,14
8VLMJjFAWnaVZ4RMgivmSmcQGcs2,39,7,1,3,2,5,0,3,4,3,2,62.47,1,16,13,16,14,17,12
20H6qm23MlSuEWReEXbievFlp7T2,25,4,2,9,4,2,3,16,3,4,1,52.63,2,19,20,18,20,14,19
t5wcnxdg0EdbZttDKFk3mIpNnnd2,0,4,2,0,12,6,1,0,20,2,1,70.83,0,15,15,16,16,12,13
yIbMhbp7cjd1bnEWIRQWJGH0KXZ2,38,4,3,2,5,10,3,6,2,3,1,66.96,0,21,21,21,21,21,21
8h5V7YKRZ9YDhfiy8endevIAeED3,39,5,2,4,3,3,31,7,5,2,2,65.98,0,20,20,18,20,21,19
tEf1S2P6W4TvaVDGT0mt0kUxWxX2,21,2,4,1,4,7,4,5,5,10,2,65.85,3,15,16,14,15,12,14
p6ZQr813VnbMVGONxszFfHb5bMI2,11,6,2,5,3,2,1,6,5,5,2,60.15,2,18,18,18,18,18,18
A1nvvLZFJUV58hTxhTzT0Y8sSR92,17,23,3,11,2,5,1,17,4,1,2,74.46,2,18,18,17,15,14,14
eC3OlWUfnwMQp9L9dUY1U7vtdvC3,17,15,2,6,3,2,2,13,0,3,2,63.77,2,13,13,10,10,12,12
CSEh0Z4PYKMhVgqEEdmeCzTKX1e2,1,17,3,1,2,2,24,4,4,2,2,55.19,0,6,6,6,6,6,6
Pih0iQZzilMIz3ddNDGp5QPPrao2,25,4,2,2,2,4,0,21,9,1,1,49.52,1,21,21,21,21,21,21
w4jyVMxOAVSfKfRGa7uqjzwpzE23,41,5,1,1,7,4,3,3,3,0,1,83.4,0,18,15,17,12,9,14
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
