|__dataLog__action	|__dataLog__note	|__dataLog__timestamp	|__dataLog__tool	|__dataLog__userId
Click Section	Our Sun	"Friday, December 1, 2017 1:43 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Section	Trade	"Friday, December 1, 2017 1:43 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Nav Menu	journey	"Friday, December 1, 2017 1:43 PM"	Alien DB	0fRkhhWuhVT3kuILHaOleFXMXi92
Click Nav Menu	akona	"Thursday, November 16, 2017 9:34 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Communication	"Thursday, November 16, 2017 9:34 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Food	"Thursday, November 16, 2017 9:34 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:34 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Technology	"Thursday, November 16, 2017 9:35 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	eolani	"Thursday, November 16, 2017 9:35 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:35 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Technology	"Thursday, November 16, 2017 9:37 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	jakalaTay	"Thursday, November 16, 2017 9:37 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:37 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Food	"Thursday, November 16, 2017 9:38 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	kaylid	"Thursday, November 16, 2017 9:38 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:39 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	sylcari	"Thursday, November 16, 2017 9:40 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:40 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	wroft	"Thursday, November 16, 2017 9:41 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwelling	"Thursday, November 16, 2017 9:41 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	eolani	"Thursday, November 16, 2017 9:43 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:43 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Eolani	"Thursday, November 16, 2017 9:47 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	akona	"Thursday, November 16, 2017 9:47 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:47 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Communication	"Thursday, November 16, 2017 9:47 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:47 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Technology	"Thursday, November 16, 2017 9:47 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	jakalaTay	"Thursday, November 16, 2017 9:47 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:47 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	kaylid	"Thursday, November 16, 2017 9:49 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:49 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	sylcari	"Thursday, November 16, 2017 9:49 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwellings	"Thursday, November 16, 2017 9:49 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	wroft	"Thursday, November 16, 2017 9:50 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Habitat & Dwelling	"Thursday, November 16, 2017 9:50 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Section	Food	"Thursday, November 16, 2017 9:50 AM"	Alien DB	0kniMnNUf7bFVVJ5CkEqtjSSRsf1
Click Nav Menu	jakalaTay	"Friday, November 17, 2017 1:33 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Communication	"Friday, November 17, 2017 1:33 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Habitat & Dwellings	"Friday, November 17, 2017 1:34 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Technology	"Friday, November 17, 2017 1:34 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Habitat & Dwellings	"Friday, November 17, 2017 1:35 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Food	"Friday, November 17, 2017 1:35 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Communication	"Friday, November 17, 2017 1:35 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Jakala-Tay	"Friday, November 17, 2017 1:35 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	solarSystem	"Friday, November 17, 2017 1:36 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Inhabited Worlds	"Friday, November 17, 2017 1:36 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Tay	"Friday, November 17, 2017 1:36 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Uninhabited Worlds	"Friday, November 17, 2017 1:36 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Belus	"Friday, November 17, 2017 1:36 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	DelShar	"Friday, November 17, 2017 1:36 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Neb	"Friday, November 17, 2017 1:37 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Zuvi	"Friday, November 17, 2017 1:37 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our History	"Friday, November 17, 2017 1:37 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our Sun	"Friday, November 17, 2017 1:37 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Trade	"Friday, November 17, 2017 1:37 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	journey	"Friday, November 17, 2017 1:37 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	jakalaTay	"Friday, November 17, 2017 1:48 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	solarSystem	"Friday, November 17, 2017 1:48 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our History	"Friday, November 17, 2017 1:49 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	journey	"Friday, November 17, 2017 1:49 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	jakalaTay	"Friday, November 17, 2017 1:50 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Communication	"Friday, November 17, 2017 1:51 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Food	"Friday, November 17, 2017 1:51 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Habitat & Dwellings	"Friday, November 17, 2017 1:51 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Technology	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	solarSystem	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Inhabited Worlds	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Tay	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our History	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Uninhabited Worlds	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our Sun	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Trade	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	journey	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	solarSystem	"Friday, November 17, 2017 1:52 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	akona	"Friday, November 17, 2017 2:07 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	eolani	"Friday, November 17, 2017 2:07 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	kaylid	"Friday, November 17, 2017 2:07 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	sylcari	"Friday, November 17, 2017 2:08 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	wroft	"Friday, November 17, 2017 2:08 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	eolani	"Friday, November 17, 2017 2:08 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Communication	"Friday, November 17, 2017 2:08 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Food	"Friday, November 17, 2017 2:08 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Habitat & Dwellings	"Friday, November 17, 2017 2:08 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Technology	"Friday, November 17, 2017 2:08 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Habitat & Dwellings	"Friday, November 17, 2017 2:09 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	jakalaTay	"Friday, November 17, 2017 2:09 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Habitat & Dwellings	"Friday, November 17, 2017 2:09 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Food	"Friday, November 17, 2017 2:09 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Food	"Friday, November 17, 2017 2:09 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Communication	"Friday, November 17, 2017 2:09 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Jakala-Tay	"Friday, November 17, 2017 2:09 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Communication	"Friday, November 17, 2017 2:09 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Food	"Friday, November 17, 2017 2:10 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Jakala-Tay	"Friday, November 17, 2017 2:10 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	solarSystem	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Uninhabited Worlds	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Inhabited Worlds	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Tay	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Trade	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our Sun	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our History	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	journey	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Finding You	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Leaving Our Worlds	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our Ship	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Leaving Our Worlds	"Friday, November 17, 2017 2:11 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our Ship	"Friday, November 17, 2017 2:12 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	The Accidents	"Friday, November 17, 2017 2:12 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	The Accidents	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our Ship	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Leaving Our Worlds	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Finding You	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our Journey	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	solarSystem	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	solarSystem	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Nav Menu	solarSystem	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Our History	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Uninhabited Worlds	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click Section	Inhabited Worlds	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Akonid	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Kayl	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Tay	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Tay	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Tay	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
Click SubSection	Tay	"Friday, November 17, 2017 2:13 PM"	Alien DB	0VypvNjsbnWRk12vRgiQpQv40zi1
